Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
020120,KR7020120002,키다리스튜디오,KOSPI,,5680,2,-230,-3.89,5880,5910,5640,50424,287537120,209993950880,36970766,STK
084650,KR7084650001,랩지노믹스,KOSDAQ,우량기업부,5680,1,320,5.97,5420,5800,5420,5378311,30283279610,209727971750,37119995,KSQ
005860,KR7005860002,한일사료,KOSDAQ,중견기업부,5320,2,-300,-5.34,5580,5580,5300,1085669,5832853970,209627604200,39403685,KSQ
011040,KR7011040003,경동제약,KOSDAQ,우량기업부,6850,2,-130,-1.86,6950,6980,6760,28996,197898720,209535296460,30768766,KSQ
950220,KR8840140006,네오이뮨텍,KOSDAQ,외국기업(소속부없음),2120,2,-95,-4.29,2135,2195,2095,489743,1038588975,209104688475,98867465,KSQ
004710,KR7004710000,한솔테크닉스,KOSPI,,6420,2,-220,-3.31,6600,6600,6400,123817,799584160,208393108220,32109878,STK
175140,KR7175140003,인포마크,KOSDAQ,벤처기업부,13490,2,-360,-2.6,13700,14980,13300,267788,3725967450,207760956720,15423976,KSQ
004830,KR7004830006,덕성,KOSPI,,13240,4,3050,29.93,12020,13240,11110,17267751,217469858230,207603200000,15680000,STK
009580,KR7009580002,무림P&P,KOSPI,,3310,2,-60,-1.78,3365,3365,3290,83689,277539675,207374677300,62368324,STK
146320,KR7146320007,비씨엔씨,KOSDAQ,벤처기업부,16220,2,-290,-1.76,16520,16680,16100,86865,1410170010,207099717690,12760303,KSQ
122450,KR7122450000,KX,KOSDAQ,중견기업부,4565,1,5,0.11,4560,4690,4450,36010,164243025,206958675660,45335964,KSQ
001250,KR7001250000,GS글로벌,KOSPI,,2505,2,-95,-3.65,2600,2605,2500,680230,1715269695,206747078820,82533764,STK
057880,KR7057880007,피에이치씨,KOSDAQ,관리종목(소속부없음),1740,0,0,0.0,0,0,0,0,0,206724832500,118807375,KSQ
063080,KR7063080006,컴투스홀딩스,KOSDAQ,중견기업부,31000,2,-1800,-5.49,32350,32500,31000,25274,797549100,205440230800,6595192,KSQ
037070,KR7037070000,파세코,KOSDAQ,우량기업부,10230,2,-70,-0.68,10300,10450,10100,82188,840706270,204600000000,20000000,KSQ
033340,KR7033340001,좋은사람들,KOSDAQ,관리종목(소속부없음),2110,0,0,0.0,0,0,0,0,0,204565677380,96950558,KSQ
251370,KR7251370003,와이엠티,KOSDAQ,우량기업부,12630,2,-150,-1.17,12720,12720,12400,23035,289246110,204420233920,16314464,KSQ
086980,KR7086980000,쇼박스,KOSDAQ,중견기업부,3260,2,-90,-2.69,3305,3450,3210,286593,941600675,203886690000,62638000,KSQ
039570,KR7039570007,HDC랩스,KOSPI,,7850,1,20,0.26,7790,7870,7580,23404,180798880,203767167850,25957601,STK
036560,KR7036560001,영풍정밀,KOSDAQ,우량기업부,12910,2,-480,-3.58,13260,13310,12870,167103,2181619510,203647500000,15750000,KSQ
161580,KR7161580006,필옵틱스,KOSDAQ,중견기업부,8740,2,-330,-3.64,9000,9000,8700,432832,3819804370,203481559820,23281643,KSQ
092730,KR7092730001,네오팜,KOSDAQ,우량기업부,24650,2,-1150,-4.46,25650,25650,24400,101140,2510940500,202311448650,8207361,KSQ
000140,KR7000140004,하이트진로홀딩스,KOSPI,,8700,2,-200,-2.25,8900,8900,8670,34319,299861420,201898855500,23206765,STK
002990,KR7002990000,금호건설,KOSPI,,5460,2,-30,-0.55,5490,5530,5320,60366,327725120,201397092750,36953595,STK
015860,KR7015860000,일진홀딩스,KOSPI,,4080,2,-70,-1.69,4140,4140,4035,81621,332414010,200597518395,49347483,STK
317400,KR7317400000,자이에스앤디,KOSPI,,5170,2,-180,-3.36,5310,5330,5160,111195,578893590,200505628400,38782520,STK
015230,KR7015230006,대창단조,KOSPI,,7000,1,40,0.57,6900,7010,6740,460273,3171166080,200005610000,28572230,STK
382900,KR7382900009,범한퓨얼셀,KOSDAQ,벤처기업부,22850,2,-1000,-4.19,23500,23500,22600,53685,1221764400,199750800000,8761000,KSQ
018000,KR7018000000,유니슨,KOSDAQ,중견기업부,1580,2,-47,-2.89,1627,1631,1570,560099,886149537,199643040573,126276433,KSQ
